Access see Market access, EconomicOperand
functions of, EconomicOperand
geographic expansion, EconomicOperand
and growth, EconomicOperand
high leverage role, EconomicOperand
industry structure,, EconomicOperand
as information-processing intermediaries, EconomicOperand
insolvency,, EconomicOperand
Internet-only (Internet-primary),, EconomicOperand
and IPOs, EconomicOperand
largest in the world Tab.. , EconomicOperand
largest US-owned Tab.. , EconomicOperand
as liquidity creators,, EconomicOperand
monetary policy transmission role, EconomicOperand
non-interest income,,,, EconomicOperand
offshore, EconomicOperand
opacity,, EconomicOperand
originate-to-distribute (OTD) model,,,,, EconomicOperand
originate-to-hold (OTH) model,,,,,, EconomicOperand
originate-to-sell model,,,, EconomicOperand
ownership, EconomicOperand
restructuring after GFC, EconomicOperand
returns, EconomicOperand
risk sharing role, EconomicOperand
role in financial system, EconomicOperand
role as monitors, EconomicOperand
role in shadow banking, EconomicOperand
scale and scope of twenty-first century, EconomicOperand
size, EconomicOperand
state/government owned,,,, EconomicOperand
stress tests, EconomicOperand
too big to save, EconomicOperand
transition, EconomicOperand
troubled,, EconomicOperand
see also individual banks, EconomicOperand
banks-markets integration, EconomicOperand
Banque de France,,, EconomicOperand
Barclays,,, EconomicOperand
Barings Bank,,, EconomicOperand
crisis , EconomicOperand
Barth, James R.,, EconomicOperand
Basel Accords,,, , EconomicOperand
Core Principles, EconomicOperand
and risk-based bank capital requirements, EconomicOperand
and risk-weighted assets (RWA),, EconomicOperand
Basel Committee on Banking Supervision (BCBS),,,,,,,,,,,,,, EconomicOperand
Basel I,,,,,,,, EconomicOperand
weaknesses, EconomicOperand
Basel II,,,,,,,,,,,,,, , EconomicOperand
advanced measurement approach (AMA), EconomicOperand
Basel III compared, Fig.. , EconomicOperand
Basic Indicator Approach, EconomicOperand
capital regulation framework, EconomicOperand
capital requirements, EconomicOperand
controversy over, EconomicOperand
and credit supply, EconomicOperand
framework, EconomicOperand
Internal-Models Approach, EconomicOperand
internal-rating-based (IBR) approaches,, EconomicOperand
and risk-based capital ratio (RBCR), EconomicOperand
and sovereign debtn, EconomicOperand
Standardized Approach, EconomicOperand
three pillars,,,, EconomicOperand
weakness, EconomicOperand
Basel III,,,,,,,,,,,,,,,,,,,,, , EconomicOperand
Basel II compared, Fig.. , EconomicOperand
capital standards, Tab.. , EconomicOperand
comprehensive Risk Measure (CRM), EconomicOperand
and GFC, EconomicOperand
implementation progress Tab.., EconomicOperand
Incremental Risk Charge (IRC), EconomicOperand
IRB approach,, EconomicOperand
and Latin America , EconomicOperand
Bayerische Landesbank,, EconomicOperand
BBVA banking group, EconomicOperand
BCBS see Basel Committee on Banking Supervision, EconomicOperand
BCCI see Bank of Credit and Commerce International, EconomicOperand
Bear Stearns,n,,,,,,,,,, EconomicOperand
Beck, Thorsten,, EconomicOperand
Belgium:, EconomicOperand
bank profitability, EconomicOperand
local loan markets, EconomicOperand
number of bank branches, EconomicOperand
systemic crisis and contagion, EconomicOperand
Berger, Allen N., , EconomicOperand
Bermuda, EconomicOperand
Bernanke, Ben,n, EconomicOperand
BHCs see bank holding companies, EconomicOperand
bilateral credit relationships, EconomicOperand
BIS see Bank for International Settlements, EconomicOperand
Black-Scholes-Merton framework, EconomicOperand
Bliss, Robert R.,, EconomicOperand
BNP-Desdner, EconomicOperand
BNP Paribas,,, EconomicOperand
boards of directors:, EconomicOperand
creditor representation, EconomicOperand
diversity, EconomicOperand
risk management inside and outside, EconomicOperand
and shareholder-oriented governance, EconomicOperand
Bolivia, EconomicOperand
Bonin, John P.,, EconomicOperand
bonuses, Fig.., EconomicOperand
boom-bust credit cycles,, EconomicOperand
Boone Competition Indicator, EconomicOperand
Boot, Arnoud W. A.,, EconomicOperand
Bouwman, Christa H. S.,, , EconomicOperand
Bradford & Bingley, EconomicOperand
branching,,,, EconomicOperand
Africa, EconomicOperand
deregulation,, EconomicOperand
Brazil,,,,,,,,, , EconomicOperand
bailouts, EconomicOperand
Central Bank, EconomicOperand
Federal Development Bank (BNDES) , EconomicOperand
public credit registers, EconomicOperand
repossession costs, EconomicOperand
textile industry, EconomicOperand
Bretton Woods Agreement,, EconomicOperand
‘bridge bank’ structure, EconomicOperand
British Virgin Islands, EconomicOperand
Brouwer Report (second), EU, EconomicOperand
Brown, Senator Sherrod, EconomicOperand
Brummer, Christopher,, EconomicOperand
Buch, Claudia M.,, EconomicOperand
Budapest Bank, EconomicOperand
Buffett, Warren, EconomicOperand
Bulgaria,,,, EconomicOperand
Bundesbank RTGS PLUS system, EconomicOperand
Bush, President George W., EconomicOperand
business cycles:, EconomicOperand
and bank runs,,, EconomicOperand
and banking shocks, EconomicOperand
Calomiris, Charles W.,, EconomicOperand
CAMEL ratings,,,, EconomicOperand
Canada:, EconomicOperand
branch banking, EconomicOperand
payment instruments, Tab.. , EconomicOperand
Cape Verde,, EconomicOperand
Capital Asset Pricing Model,, EconomicOperand
capital, EconomicOperand
human, EconomicOperand
reputational,,,, EconomicOperand
Tier,,,,,, EconomicOperand
capital liability structures, EconomicOperand
capital market funding, EconomicOperand
capital market theory, EconomicOperand
capital regulation, EconomicOperand
capital requirements,,,, EconomicOperand
Basel II and Basel III compared, Fig.. , EconomicOperand
effects on bank output, EconomicOperand
EU, EconomicOperand
interaction with liquidity requirements, EconomicOperand
prior to the subprime lending crisis, EconomicOperand
risk-adjusted, EconomicOperand
and the shadow banking system, EconomicOperand
and traditional OTH banking, EconomicOperand
Capital Requirements Directive (CRD II), EU,, EconomicOperand
Capital Requirements Directive(CRD IV), EU,,, EconomicOperand
capital structure of commercial banks, EconomicOperand
CAPM see Capital Asset Pricing Model, EconomicOperand
Caprio, Gerard,, EconomicOperand
Carletti, Elena,, EconomicOperand
Carmassi, Jacopo,, EconomicOperand
Carney, Mark, EconomicOperand
cash-asset reserves, EconomicOperand
cash bonuses, Fig.. , EconomicOperand
cash reserve requirements,Fig.., EconomicOperand
‘cashless society’, EconomicOperand
Casu, Barbara,, EconomicOperand
causality debate, EconomicOperand
Cavallo, Domingo, EconomicOperand
Cayman Islands, EconomicOperand
CBCs see commercial bank clearing houses, EconomicOperand
CBOT see Chicago Board of Trade, EconomicOperand
CDO see collateralized debt obligations, EconomicOperand
CDSs see credit default swaps, EconomicOperand
CEE see Central Eastern Europe, EconomicOperand
Central African Republic, EconomicOperand
central banks, EconomicOperand
as ‘bankers’ banks,, EconomicOperand
centralization of payments, EconomicOperand
current threats, EconomicOperand
daylight credit,, EconomicOperand
emergence of, EconomicOperand
emergency liquidity assistance, EconomicOperand
impact of GFC, EconomicOperand
key intervention ratesFig.. , EconomicOperand
law of reflux, EconomicOperand
as LOLR,,,,,,, EconomicOperand
and LOLR liquidity injections, Tab.. , EconomicOperand
and monetary policy, EconomicOperand
as multilateral clearing systems, EconomicOperand
nominal anchor,,, EconomicOperand
regulation of payment systems, EconomicOperand
role as crisis managers, EconomicOperand
role of, EconomicOperand
rules of, EconomicOperand
total liabilitiesFig.. , EconomicOperand
see also discount windows, EconomicOperand
Central Eastern Europe (CEE),,,,,,,,, EconomicOperand
Central European International Bank, Ltd, EconomicOperand
centralization of payment systems, EconomicOperand
Cetorelli, Nicola,,, EconomicOperand
CFTC see Commodity Futures Trading Commission, EconomicOperand
Chad, EconomicOperand
charter value, EconomicOperand
Chase Manhattan Corporation,, EconomicOperand
Check Clearing for thest Century Act US, EconomicOperand
checks (cheques),,,,, EconomicOperand
Chemical Bank,, EconomicOperand
Chicago banking panic,, EconomicOperand
Chicago Board of Trade (CBOT), EconomicOperand
Chicago Mercantile Exchange (CME), EconomicOperand
Chile,,,,,, , EconomicOperand
financial crisis , EconomicOperand
China,,,,,,,,,, , EconomicOperand
bailouts, EconomicOperand
bank performance, EconomicOperand
credit intermediation, EconomicOperand
diversification, EconomicOperand
shadow banking,, EconomicOperand
China Construction Bank, EconomicOperand
CHIPS see Clearinghouse Interbank Payments System, EconomicOperand
Chrysler, EconomicOperand
Čihák, Martin, , EconomicOperand
Citibank,,, EconomicOperand
Citibank Budapest Ltd, EconomicOperand
Citicorp merger with Travellers , EconomicOperand
Citigroup,,,,,,,,,, EconomicOperand
City of London, EconomicOperand
Clearinghouse Interbank Payments System (CHIPS), US,,,, EconomicOperand
click-and-mortar model, EconomicOperand
Clinton, President Bill, EconomicOperand
CLOs see collateralized loan obligations, EconomicOperand
close-out netting, EconomicOperand
CLTV see combined loan-to-value, EconomicOperand
CME see Chicago Mercantile Exchange, EconomicOperand
CMOs see collateralized mortgage obligations, EconomicOperand
collateral, criteria for, EconomicOperand
collateralized debt obligations (CDOs),,,, EconomicOperand
collateralized loan obligations (CLOs),,, EconomicOperand
collateralized mortgage obligations (CMOs), EconomicOperand
Collins Amendment, US, EconomicOperand
Colombia, EconomicOperand
combined loan-to-value (CLTV) ratios, EconomicOperand
commercial bank charters, US Fig.., EconomicOperand
commercial bank clearing houses (CBCs), as lenders of last resort, EconomicOperand
commercial paper (CP),,,, EconomicOperand
Commerzbank,, EconomicOperand
Commodity Futures Trading Commission (CFTC), EconomicOperand
community banks,,,,,,,,,, EconomicOperand
Community Reinvestment Act US,, EconomicOperand
compensation in banking, EconomicOperand
cash bonuses, Fig.. , EconomicOperand
debt-based, EconomicOperand
equity-based, EconomicOperand
packages, EconomicOperand
US guidelines, EconomicOperand
competing hazards model, EconomicOperand
competition , EconomicOperand
banks as intermediaries, EconomicOperand
conduct and strategy , EconomicOperand
evolution of research, Fig.. , EconomicOperand
and information-sharing, EconomicOperand
measuring, EconomicOperand
new empirical industrial organization (NEIO) approaches, EconomicOperand
in a post-crisis world , EconomicOperand
and regulation, EconomicOperand
and risk, EconomicOperand
traditional industrial organization (IO) approach, EconomicOperand
Competition Commission, UK, EconomicOperand
‘competition-fragility’ hypothesis,, EconomicOperand
‘competition-stability’ hypothesis,, EconomicOperand
Competitive Equality Banking Act US, EconomicOperand
Comprehensive Risk Measure (CRM), EconomicOperand
conforming loan limit, EconomicOperand
conjectural-variations method, EconomicOperand
constructive ambiguity,,, EconomicOperand
consumer credit costs, lowered by securitization, EconomicOperand
Consumer Financial Protection Bureau, US,, EconomicOperand
consumer lending, EconomicOperand
adverse selection,, EconomicOperand
asymmetric information,, EconomicOperand
behavioural and psychological research, EconomicOperand
classification, EconomicOperand
credit rationing, EconomicOperand
credit scoring and evaluation, EconomicOperand
default risk and credit supply, EconomicOperand
default risk models of credit supply,, EconomicOperand
demand for, EconomicOperand
economic benefits, EconomicOperand
and instalment payments, EconomicOperand
investment-consumption framework, EconomicOperand
loan-supply curve, EconomicOperand
operating/non-operating costs, EconomicOperand
regulation of, EconomicOperand
and small/large banks, EconomicOperand
supply through financial intermediation, EconomicOperand
contagion,,,,,, EconomicOperand
evidence on, EconomicOperand
‘domino effect’, EconomicOperand
and the GFC, EconomicOperand
and global games theory, EconomicOperand
illiquidity view, EconomicOperand
local, EconomicOperand
Value-at-Risk (CoVaR) measure, EconomicOperand
Continental Illinois National Bank, Chicago,,,,,, EconomicOperand
Convertibility (Cavallo) Plan, Argentina, EconomicOperand
Cooper Neff, derivatives trading partnershipn, EconomicOperand
core deposits, EconomicOperand
Core Principle for Effective Banking Supervision,, EconomicOperand
corporate bonds, EconomicOperand
corporate debt, EconomicOperand
corporate governance, EconomicOperand
difference between banks and non-financial firms, Fig.. , EconomicOperand
and the GFC, EconomicOperand
and government ownership, EconomicOperand
and market discipline, EconomicOperand
policy implications, EconomicOperand
reform recommendations, EU, EconomicOperand
role of banks, EconomicOperand
shareholder-oriented, EconomicOperand
weak,, EconomicOperand
corporate structures, and tax, EconomicOperand
corporate tax, and financial stability, EconomicOperand
Correa, Ricardo,, EconomicOperand
counterfactual mergers, EconomicOperand
Countrywide Financial mortgage lender, USn,,, EconomicOperand
covenants, restrictive, EconomicOperand
CP see commercial paper, EconomicOperand
CRAs see credit rating agencies, EconomicOperand
credit availability, effects of consolidation on small business, EconomicOperand
credit booms, EconomicOperand
credit bureaus, EconomicOperand
Credit Card Accountability, Responsibility and Disclosure Act US, EconomicOperand
credit cards,,,,,,,,,,,,,,,,,,, EconomicOperand
chip and pin, EconomicOperand
debt,,,,, EconomicOperand
fraud, EconomicOperand
interchange fees,, EconomicOperand
subprime, EconomicOperand
credit crunches,,,,,,, EconomicOperand
credit default swaps (CDSs), EconomicOperand
and risk management, EconomicOperand
and sovereign debt crisis,, EconomicOperand
credit derivatives, market risk management, Fig.. , EconomicOperand
credit enhancements, Fig.. , EconomicOperand
credit intermediation chain,, Fig.. , EconomicOperand
credit lines,,,,,,, EconomicOperand
Credit Lyonnais, EconomicOperand
credit market frictions, EconomicOperand
credit migration matrix, EconomicOperand
Crédit Mobilier, EconomicOperand
credit protection, EconomicOperand
credit rating agencies (CRAs),,,,,,,, EconomicOperand
gatekeeper role, EconomicOperand
rating triggers, EconomicOperand
role of,, EconomicOperand
Credit Rating Agency Reform Act US, EconomicOperand
credit rating organizations (CROs), EconomicOperand
credit rationing,,,,,,,,, EconomicOperand
credit registries,, EconomicOperand
credit risk,,,,,,,, EconomicOperand
and the GFC, EconomicOperand
management, EconomicOperand
credit risk transfer,,n, EconomicOperand
mechanism, EconomicOperand
credit scoring,,,, EconomicOperand
small business (SBCS),,,,, EconomicOperand
Credit Suisse,,, EconomicOperand
credit-allocation schemes,,,, EconomicOperand
credit unions,,,, EconomicOperand
Creditanstalt,, EconomicOperand
CreditMetrics model,,, EconomicOperand
crises see financial/banking crises; regulation-induced banking crisis; sovereign, EconomicOperand
debt crisis; subprime crisis, EconomicOperand
crisis management, EconomicOperand
exculpatory norms in, EconomicOperand
formal model, EconomicOperand
and the GFC, EconomicOperand
Croatia,,,,,,,,, EconomicOperand
Croatian National Bank, EconomicOperand
CROs see credit rating organizations, EconomicOperand
cross-border mergers see international bank mergers, EconomicOperand
CRT derivatives trading partnershipn, EconomicOperand
Cull, Robert,, EconomicOperand
cumulative abnormal return (CAR) model, EconomicOperand
currency deposit conversion, EconomicOperand
Currency School, EconomicOperand
cyclical downturns,,, EconomicOperand
Cyprus,,, EconomicOperand
bailout, EconomicOperand
banking crisis,, EconomicOperand
tax rates, EconomicOperand
Czech Republic,,,,,,,,,, EconomicOperand
daylight credit,, EconomicOperand
de Bandt, Olivier,, EconomicOperand
de Carvalho, Fernando J. Cardim de,, EconomicOperand
de Gaulle, Charles, EconomicOperand
de Larosière, Jacques, EconomicOperand
de Paula, Luiz Fernando,, EconomicOperand
debit cards,,,,,, EconomicOperand
chip and pin, EconomicOperand
interchange fees, EconomicOperand
debt, EconomicOperand
corporate, EconomicOperand
credit card,,,,, EconomicOperand
impact of securitization, EconomicOperand
inside debt, EconomicOperand
liabilities, EconomicOperand
public, EconomicOperand
senior/junior, EconomicOperand
underwriters Tab.. , EconomicOperand
debt-based compensation, EconomicOperand
deferred net settlement (DNS) systems,,, EconomicOperand
Degryse, Hans, , EconomicOperand
delegated monitoring, EconomicOperand
delivery vs. payment (DVP),, EconomicOperand
Delong, Gayle L.,, EconomicOperand
demand-deposit contracts, EconomicOperand
demand stimulation, EconomicOperand
demandable deposits, EconomicOperand
Demirgüç-Kunt, Asli,,, EconomicOperand
Democratic Republic of Congo (DRC), EconomicOperand
deposit flows, EconomicOperand
deposit-guarantee schemes,, EconomicOperand
deposit insurance,,,,,,,,, EconomicOperand
and banking instability, EconomicOperand
European scheme, EconomicOperand
and market discipline, EconomicOperand
safety net access by securities arm, EconomicOperand
deposit insurance issues in post- crisis world, EconomicOperand
banks as ‘special’, EconomicOperand
evolution of US schemes prior to GFC, EconomicOperand
fund structure and funding, EconomicOperand
historical record, EconomicOperand
and market discipline,, EconomicOperand
monitoring and supervisory responsibilities, EconomicOperand
and moral hazard behaviour, EconomicOperand
and non-bank institutions, EconomicOperand
as public policy, EconomicOperand
selected characteristics of schemes Tab.. , EconomicOperand
system reform, EconomicOperand
Deposit Insurance Corporation see Federal Deposit Insurance Corporation, EconomicOperand
Deposit Insurance Corporation, Japan, EconomicOperand
deposit markets, EconomicOperand
depository institutions,, EconomicOperand
Depository Institutions Deregulation and Monetary Control Act (DIDMCA,, EconomicOperand
MCA), US,, EconomicOperand
Depository Trust and Clearing Corporation, US, EconomicOperand
deregulation,,,,,, EconomicOperand
and competitive dynamics, EconomicOperand
and financial and economic growth, EconomicOperand
major events Fig.. , EconomicOperand
USs), EconomicOperand
derivatives,,,, EconomicOperand
as financial weapons of mass destruction, EconomicOperand
desupervision, EconomicOperand
Deutsche Bank,, EconomicOperand
developing countries, EconomicOperand
and debt default, EconomicOperand
and international bank acquisitions, EconomicOperand
sovereign fiscal costs, EconomicOperand
see also Africa; Asia; Latin America, EconomicOperand
Development Bank of Japan, EconomicOperand
DeYoung, Robert,,, EconomicOperand
Diamond, D., EconomicOperand
Diamond-Dybvig model,, EconomicOperand
Dillon Read Capital Management (DCRM), EconomicOperand
Dingell, John, EconomicOperand
disaster myopia, EconomicOperand
discount windows,,,,,,,,,,,,,,,,,,, EconomicOperand
discrete choice models,, EconomicOperand
diseconomies of scale,,,,,, EconomicOperand
diseconomies of scope, EconomicOperand
disintermediation, EconomicOperand
diversification, EconomicOperand
Chinese banks, EconomicOperand
European banks,, EconomicOperand
and financial stability, EconomicOperand
geographic,,, EconomicOperand
German banks, EconomicOperand
Israeli banks, EconomicOperand
Italian banks, EconomicOperand
large banks, EconomicOperand
in a post-crisis world , EconomicOperand
product market, EconomicOperand
reasons for, EconomicOperand
and risk,, EconomicOperand
and scale economies, EconomicOperand
understanding, EconomicOperand
diversity in the boardroom, EconomicOperand
DNS systems see deferred net settlement systems, EconomicOperand
Dodd-Frank Wall Street Reform and Consumer Protection Act US,,, EconomicOperand
,,,,,,,,,,,,,,,,,,,, EconomicOperand
Dominican Republic financial crises, EconomicOperand
domino effect and contagion, EconomicOperand
Donadio, Gregory,, EconomicOperand
double taxation, EconomicOperand
Douglass Amendment to the Bank Holding Act, US, EconomicOperand
Dow Jones CDX (DJ CDX) North American Investment Grade Index, EconomicOperand
DRC see Democratic Republic of Congo, EconomicOperand
Drexel Burnham Lambert Inc., EconomicOperand
dualist monetary systems, EconomicOperand
DuPont, EconomicOperand
Durbin Amendment, US, EconomicOperand
Durkin, Thomas A.,, EconomicOperand
duty of conscientious representation, EconomicOperand
duty of efficient operation, EconomicOperand
duty of prompt corrective action, EconomicOperand
duty of vision, EconomicOperand
DVP see delivery vs. payment, EconomicOperand
EAD see exposure at default, EconomicOperand
Eastern Europe,,,,,,,, EconomicOperand
EBRD (European Bank for Reconstruction and Development), EconomicOperand
EBRD/World Bank surveys, EconomicOperand
index of banking reform, EconomicOperand
Transition Report,,, EconomicOperand
ECB see European Central Bank, EconomicOperand
Ecobank, EconomicOperand
economic policies, liberalization of, EconomicOperand
economies of scale,,,,,,,, EconomicOperand
vs. too big to fail , EconomicOperand
economies of scope,,, EconomicOperand
Ecuador, , EconomicOperand
efficiency:, EconomicOperand
and distance, EconomicOperand
and European integration, EconomicOperand
efficient market hypothesis (EMH),, EconomicOperand
efficient-structure hypothesis, EconomicOperand
EFTPOS see electronic funds transfer at the point of sale, EconomicOperand
EIB see European Investment Bank, EconomicOperand
Eisenbeis, Robert A.,, EconomicOperand
ELA see emergency liquidity assistance, EconomicOperand
Electronic Benefit Transfer, US, EconomicOperand
electronic funds transfer at the point of sale (EFTPOS), EconomicOperand
electronic payments,, EconomicOperand
Elliehausen, Gregory,, EconomicOperand
EMDEs see emerging market and developing economies, EconomicOperand
emergency liquidity assistance (ELA),, EconomicOperand
emerging market and developing economies (EMDEs), EconomicOperand
Emigrant Savings Bank of New York, EconomicOperand
e-money,n,, EconomicOperand
England, early industrialization, EconomicOperand
Enron,, EconomicOperand
Equal Credit Opportunity Act, US, EconomicOperand
equilibria,,,,,,,,,,,, EconomicOperand
equity, EconomicOperand
Equity Bank, Kenya, EconomicOperand
equity-based compensation, EconomicOperand
equity funding, EconomicOperand
Erste Bank, Austria,, EconomicOperand
Estonia,, EconomicOperand
euro crisis see sovereign debt crises, EconomicOperand
Eurodollar futures, EconomicOperand
European Banking Authority (EBA),,, EconomicOperand
European banking union,,,, EconomicOperand
timeline of development Fig.. , EconomicOperand
European Investment Bank (EIB), EconomicOperand
European Central Bank (ECB),,,,,,,,,,,,, EconomicOperand
and Cyprus crisis, EconomicOperand
Financial Stability Review, EconomicOperand
and Maastricht Treaty, EconomicOperand
Memorandum of Understanding, EconomicOperand
supervision, EconomicOperand
Targetsystem, EconomicOperand
European Commission (EC),,,,,, EconomicOperand
 inquiry into credit bureau fees, EconomicOperand
European Company Statute, EconomicOperand
European Financial Stability Facility,, EconomicOperand
European Systemic Risk Board (ESRB),, EconomicOperand
European Union (EU),, EconomicOperand
and bank liabilities, EconomicOperand
banking integration, EconomicOperand
and Basel III, EconomicOperand
capital requirements, EconomicOperand
Capital Requirements Directive (CRD II),, EconomicOperand
competition and risk, EconomicOperand
credit/debit card interchange fees, EconomicOperand
deposit insurance schemes,, EconomicOperand
deregulation, EconomicOperand
EU-, EconomicOperand
efficiency, EconomicOperand
financing structure,Fig..Fig.. , EconomicOperand
First Banking Directive , EconomicOperand
impact of deregulation on market structure, EconomicOperand
impact of GFC, Tab.. , EconomicOperand
information-sharing and competition, EconomicOperand
Liikanen Report,,,, EconomicOperand
local deposit markets, EconomicOperand
need for cross-border coordination in regulation and supervision, EconomicOperand
new regulatory architecture, EconomicOperand
payment instruments, Tab.. , EconomicOperand
performance of large banks Tab.. , EconomicOperand
profitability, Tab.. , EconomicOperand
regulatory reforms and G-SIBS,, EconomicOperand
Second Banking Directive,,, EconomicOperand
Single Market Program,, EconomicOperand
size of shadow banking sector, EconomicOperand
state support for banks, EconomicOperand
structural and performance features, EconomicOperand
structural indicators Tab.. , EconomicOperand
tax evasion and avoidance, EconomicOperand
universal banking, EconomicOperand
see also sovereign debt crisis, EconomicOperand
Eurosystem, EconomicOperand
EVT see extreme-value theory, EconomicOperand
exchange rate collapse, EconomicOperand
exchange rate pegs, EconomicOperand
exposure at default (EAD),, EconomicOperand
extreme-value theory (EVT),, EconomicOperand
Fair Credit Reporting Act, revised, US, EconomicOperand
Fair Debt Collection Practices Act US, EconomicOperand
Fair Isaac Company, EconomicOperand
Fannie Mae, USn,,,,,,,,,,, EconomicOperand
FDI see foreign direct investment, EconomicOperand
FDIC see Federal Deposit Insurance Corporation, EconomicOperand
FDICIA see Federal Deposit Insurance Corporation Improvement Act, EconomicOperand
Fed, the see Federal Reserve, EconomicOperand
FedACH (Federal Reserve Banks' Automated Clearing House), EconomicOperand
Federal Deposit Insurance Corporation (FDIC), US,,,,,,,,,,,,,, EconomicOperand
Federal Deposit Insurance Corporation Improvement Act (FDICIA,, US,,,,,,, EconomicOperand
Federal Home Loan Mortgage Corporation (FHLMC) see Freddie Mac, EconomicOperand
Federal Housing Association (FHA), EconomicOperand
Federal National Mortgage Association see Fannie Mae, EconomicOperand
Federal Reserve (the Fed),,,,,,,,,,,,,,,,,,,,,,, EconomicOperand
discount window,,,,,,,,,,,, EconomicOperand
funds market, EconomicOperand
Regulation Q,,,,, EconomicOperand
Surveys of Consumer Finances, EconomicOperand
Federal Reserve Act US,, EconomicOperand
Federal Reserve Bank Act US, EconomicOperand
Federal Reserve Bank of Atlanta, EconomicOperand
Federal Reserve Board, US, EconomicOperand
mortgage refinancing surveys, EconomicOperand
and subsidiary banks, EconomicOperand
Federal Savings and Loan Insurance Corporation (FSLIC), US,, EconomicOperand
Federal Trade Commission’s rule on Credit Practices US, EconomicOperand
Fedwire, US,,,, EconomicOperand
FHA see Federal Housing Association, EconomicOperand
FHCs see financial holding companies, EconomicOperand
fiat monetary systems,, EconomicOperand
FICO scores,,,, EconomicOperand
Financial Accounting Standards Board (FASB), US, EconomicOperand
financial and banking crises,, EconomicOperand
, US,,,,, EconomicOperand
s, EconomicOperand
s, EconomicOperand
,,, EconomicOperand
accountability, EconomicOperand
Argentina,, EconomicOperand
Asia,, EconomicOperand
Bank Holiday , EconomicOperand
boom and bust, EconomicOperand
Chile , EconomicOperand
contagion vs. fundamental views, EconomicOperand
costs of,, EconomicOperand
Dominican Republic, EconomicOperand
dynamic regulation, EconomicOperand
following economic booms, EconomicOperand
and fraud, EconomicOperand
frequency of,, EconomicOperand
government intervention, EconomicOperand
government key roles, EconomicOperand
and government policies, EconomicOperand
historical background, EconomicOperand
and insider trading, EconomicOperand
Italy , EconomicOperand
Japans), , EconomicOperand
late twentieth century, EconomicOperand
and mismanagement, EconomicOperand
nineteenth century, EconomicOperand
origins of recent, EconomicOperand
pre-Depression, US, EconomicOperand
regulatory responses, EconomicOperand
response and prevention, EconomicOperand
and rogue traders, EconomicOperand
role of regulatory competition, EconomicOperand
rolling,, EconomicOperand
Russia , EconomicOperand
Scandinavias),, EconomicOperand
and strengthening supervision, EconomicOperand
sudden and fast-moving, EconomicOperand
Tequila, Mexico,,,,, EconomicOperand
UK , EconomicOperand
and US banking structure, EconomicOperand
US securitization, EconomicOperand
Venezuela, EconomicOperand
see also global financial crisis; regulation-induced crisis; sovereign debt, EconomicOperand
crisis; subprime crisis, EconomicOperand
financial contagion see contagion, EconomicOperand
financial distress, costs of,, EconomicOperand
financial fragility see fragility, EconomicOperand
financial futures and forwards risk management, EconomicOperand
financial holding companies (FHCs),,, EconomicOperand
financial innovation, EconomicOperand
and finance, EconomicOperand
organizational forms, EconomicOperand
in a post-crisis world, EconomicOperand
production processes, EconomicOperand
products, EconomicOperand
services, EconomicOperand
Financial Institutions Reform, Recovery and Enforcement Act (FIRREA,,, EconomicOperand
US, EconomicOperand
financial intermediation theory, EconomicOperand
financial linkages, and contagion,, EconomicOperand
financial markets:, EconomicOperand
contestability,, EconomicOperand
economic growth, EconomicOperand
and risk sharing, EconomicOperand
financial options:, EconomicOperand
lower cost options hedges, EconomicOperand
risk management, EconomicOperand
financial ratios Tab.. , EconomicOperand
Financial Services (Banking Reform) Bill , EconomicOperand
Financial Services Action Plan (FSAP), EU,, EconomicOperand
Financial Services Authority (FSA), UK,, EconomicOperand
Financial Services Modernization Actsee Gramm-Leach-Bliley Act, EconomicOperand
financial stability:, EconomicOperand
impact of securitization, EconomicOperand
as objective in its own right, EconomicOperand
and regulation, EconomicOperand
and residential mortgages,Fig.. , EconomicOperand
Financial Stability Act US, EconomicOperand
Financial Stability Board (FSB), G,,,,,, EconomicOperand
Key Attributes,,, , EconomicOperand
SIFIs initiatives,Tab.. , EconomicOperand
Financial Stability Forum (FSF), G, EconomicOperand
Financial Stability Oversight Council (FSOC), US,,,,,, EconomicOperand
financial systems,Fig..Fig.. , EconomicOperand
Allen-Gale framework, EconomicOperand
function of, EconomicOperand
financial underdevelopment, EconomicOperand
Fine, Camden, EconomicOperand
Finland, EconomicOperand
F-IRB see foundation internal rating-based approach, EconomicOperand
fire sales,,, EconomicOperand
firewalls in the financial sector, EconomicOperand
First National Bank of Chicago, EconomicOperand
Fitch/IBCA rating, EconomicOperand
fixed rate mortgages (FRMs),,, EconomicOperand
FLS see Funding for Lending Scheme, EconomicOperand
Fobaproa, Mexico, EconomicOperand
follow-your-customer strategy, EconomicOperand
Ford, EconomicOperand
foreclosure,,,,, EconomicOperand
and the GFC,, EconomicOperand
foreign banks,,,, EconomicOperand
efficiency compared with domestic banks, EconomicOperand
influence on competition, EconomicOperand
foreign direct investment (FDI),,, EconomicOperand
foreign tax credit, EconomicOperand
Fortisn,n,, EconomicOperand
forward contracts see also swaps, EconomicOperand
forward guidance, EconomicOperand
foundation internal rating-based approach (F-IRB), EconomicOperand
fragile banks, as liquidity providers, EconomicOperand
fragility:, EconomicOperand
financial fragility hypothesis, EconomicOperand
role of incentive conflicts and regulatory subsidies, EconomicOperand
systemwide, EconomicOperand
Frame, Scott W.,, EconomicOperand
France:, EconomicOperand
banking reforms , EconomicOperand
banking staff numbers, EconomicOperand
