This	B-T2	O	O	
the	I-A1	I-A2	O	
period	I-A1	I-A2	O	
at	I-A1	I-A2	O	
the	I-A1	I-A2	O	
end	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
first	I-A1	I-A2	O	
sentence	I-A1	I-A2	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
,	I-A1	O	O	
including	I-A1	O	O	
rules	I-A1	B-T1	O	
and	I-A1	I-T1	O	
regulations	I-A1	I-T1	O	
defining	I-A1	B-A2	O	
technical	I-A1	I-A2	O	
,	I-A1	I-A2	O	
trade	I-A1	I-A2	O	
,	I-A1	I-A2	O	
and	I-A1	I-A2	O	
other	I-A1	I-A2	B-T1	
terms	I-A1	I-A2	I-T1	
used	I-A1	I-A2	B-A3	
in	I-A1	I-A2	I-A3	
this	I-A1	I-A2	I-A3	
title	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
except	I-A1	O	O	
that	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
may	I-A1	O	O	
not	I-A1	O	O	
define	I-A1	O	O	
the	I-A1	O	O	
term	I-A1	O	O	
client	I-A1	O	O	
for	I-A1	B-A2	O	
purposes	I-A1	I-A2	O	
of	I-A1	I-A2	O	
paragraphs	I-A1	I-A2	O	
-LRB-	I-A1	I-A2	O	
1	I-A1	I-A2	O	
-RRB-	I-A1	I-A2	O	
and	I-A1	I-A2	O	
-LRB-	I-A1	I-A2	O	
2	I-A1	I-A2	O	
-RRB-	I-A1	I-A2	O	
of	I-A1	I-A2	O	
section	I-A1	I-A2	O	
206	I-A1	I-A2	O	
to	I-A1	O	O	
include	I-A1	O	O	
an	I-A1	O	O	
investor	I-A1	O	O	
in	I-A1	O	O	
a	I-A1	O	O	
private	I-A1	B-T1	O	
fund	I-A1	I-T1	O	
managed	I-A1	B-A2	O	
by	I-A1	I-A2	O	
an	I-A1	I-A2	O	
investment	I-A1	I-A2	O	
adviser	I-A1	I-A2	O	
,	I-A1	I-A2	O	
if	I-A1	I-A2	O	
such	I-A1	I-A2	O	
private	I-A1	I-A2	O	
fund	I-A1	I-A2	O	
has	I-A1	I-A2	O	
entered	I-A1	I-A2	O	
into	I-A1	I-A2	O	
an	I-A1	I-A2	O	
advisory	I-A1	I-A2	O	
contract	I-A1	I-A2	O	
with	I-A1	I-A2	O	
such	I-A1	I-A2	O	
adviser	I-A1	I-A2	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
2	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
and	I-T2	O	O	
the	I-T2	O	O	
Commodity	I-T2	O	O	
Futures	I-T2	O	O	
Trading	I-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
,	I-C	O	O	
after	I-C	B-A1	O	
consultation	I-C	I-A1	O	
with	I-C	I-A1	O	
the	I-C	I-A1	O	
Council	I-C	I-A1	O	
but	I-C	I-A1	O	
not	I-C	I-A1	O	
later	I-C	I-A1	O	
than	I-C	I-A1	O	
12	I-C	I-A1	O	
months	I-C	I-A1	O	
after	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Private	I-C	I-A1	O	
Fund	I-C	I-A1	O	
Investment	I-C	I-A1	O	
Advisers	I-C	I-A1	O	
Registration	I-C	I-A1	O	
Act	I-C	I-A1	O	
of	I-C	I-A1	O	
2010	I-C	I-A1	O	
,	I-C	I-A1	O	
jointly	I-C	O	O	
promulgate	I-C	O	O	
rules	I-C	B-T1	O	
to	I-C	B-A1	O	
establish	I-C	I-A1	O	
the	I-C	I-A1	O	
form	I-C	I-A1	O	
and	I-C	I-A1	O	
content	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
reports	I-C	I-A1	I-T1	
required	I-C	I-A1	B-A2	
to	I-C	I-A1	I-A2	
be	I-C	I-A1	I-A2	
filed	I-C	I-A1	I-A2	
with	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
subsection	I-C	I-A1	I-A2	
204	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
b	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
with	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commodity	I-C	I-A1	I-A2	
Futures	I-C	I-A1	I-A2	
Trading	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
advisers	I-C	I-A1	I-A2	
that	I-C	I-A1	I-A2	
are	I-C	I-A1	I-A2	
registered	I-C	I-A1	I-A2	
both	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
this	I-C	I-A1	I-A2	
title	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commodity	I-C	I-A1	I-A2	
Exchange	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
7	I-C	I-A1	I-A2	
U.S.C.	I-C	I-A1	I-A2	
1a	I-C	I-A1	I-A2	
et	I-C	I-A1	I-A2	
seq.	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
.	O	O	O	
Section	B-T3	O	O	
203	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-3	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
No	B-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
that	B-A1	O	O	
acts	I-A1	O	O	
as	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
solely	I-A1	O	O	
to	I-A1	O	O	
1	I-A1	O	O	
or	I-A1	O	O	
more	I-A1	O	O	
venture	I-A1	O	O	
capital	I-A1	O	O	
funds	I-A1	O	O	
shall	B-C	O	O	
be	I-C	O	O	
subject	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
registration	I-C	O	O	
requirements	I-C	O	O	
of	I-C	O	O	
this	I-C	O	O	
title	I-C	O	O	
with	B-A1	O	O	
respect	I-A1	O	O	
to	I-A1	O	O	
the	I-A1	O	O	
provision	I-A1	O	O	
of	I-A1	O	O	
investment	I-A1	B-T1	O	
advice	I-A1	I-T1	O	
relating	I-A1	B-A2	O	
to	I-A1	I-A2	O	
a	I-A1	I-A2	O	
venture	I-A1	I-A2	O	
capital	I-A1	I-A2	O	
fund	I-A1	I-A2	O	
.	O	O	O	
Not	I-A1	O	O	
later	I-A1	O	O	
than	I-A1	O	O	
1	I-A1	O	O	
year	I-A1	O	O	
after	I-A1	O	O	
the	I-A1	O	O	
date	I-A1	O	O	
of	I-A1	O	O	
enactment	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
,	I-A1	O	O	
the	B-T3	O	O	
Commission	I-T3	O	O	
shall	B-C	O	O	
issue	I-C	O	O	
final	I-C	O	O	
rules	I-C	O	O	
to	I-C	O	O	
define	I-C	O	O	
the	I-C	O	O	
term	I-C	O	O	
venture	I-C	O	O	
capital	I-C	O	O	
fund	I-C	O	O	
for	B-A1	O	O	
purposes	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
require	I-C	O	O	
such	I-C	O	O	
advisers	I-C	O	O	
to	B-A1	O	O	
maintain	I-A1	O	O	
such	I-A1	O	O	
records	I-A1	O	O	
and	I-A1	O	O	
provide	I-A1	O	O	
to	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
such	I-A1	O	O	
annual	I-A1	O	O	
or	I-A1	O	O	
other	I-A1	B-T1	O	
reports	I-A1	I-T1	O	
as	I-A1	B-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
determines	I-A1	I-A2	O	
necessary	I-A1	I-A2	O	
or	I-A1	I-A2	O	
appropriate	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
or	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
.	O	O	O	
Section	B-T3	O	O	
203	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-3	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
provide	I-C	O	O	
an	I-C	B-T1	O	
exemption	I-C	I-T1	O	
from	I-C	B-A1	O	
the	I-C	I-A1	O	
registration	I-C	I-A1	O	
requirements	I-C	I-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
section	I-C	I-A1	O	
to	I-C	I-A1	O	
any	I-C	I-A1	O	
investment	I-C	I-A1	O	
adviser	I-C	I-A1	O	
of	I-C	I-A1	O	
private	I-C	I-A1	O	
funds	I-C	I-A1	O	
,	I-C	I-A1	O	
if	B-A1	O	O	
each	I-A1	O	O	
of	I-A1	O	O	
such	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
acts	I-A1	O	O	
solely	I-A1	O	O	
as	I-A1	O	O	
an	I-A1	O	O	
adviser	I-A1	O	O	
to	I-A1	O	O	
private	I-A1	O	O	
funds	I-A1	O	O	
and	I-A1	O	O	
has	I-A1	O	O	
assets	I-A1	B-T1	O	
under	I-A1	I-T1	O	
management	I-A1	I-T1	O	
in	I-A1	B-A2	O	
the	I-A1	I-A2	O	
United	I-A1	I-A2	O	
States	I-A1	I-A2	O	
of	I-A1	I-A2	O	
less	I-A1	I-A2	O	
than	I-A1	I-A2	O	
USD150000000	I-A1	I-A2	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
require	I-C	O	O	
investment	I-C	O	O	
advisers	I-C	O	O	
exempted	I-C	O	O	
by	B-A1	O	O	
reason	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
subsection	I-A1	O	O	
to	I-A1	O	O	
maintain	I-A1	O	O	
such	I-A1	O	O	
records	I-A1	O	O	
and	I-A1	O	O	
provide	I-A1	O	O	
to	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
such	I-A1	O	O	
annual	I-A1	O	O	
or	I-A1	O	O	
other	I-A1	B-T1	O	
reports	I-A1	I-T1	O	
as	I-A1	B-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
determines	I-A1	I-A2	O	
necessary	I-A1	I-A2	O	
or	I-A1	I-A2	O	
appropriate	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
or	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
.	O	O	O	
In	B-C	O	O	
prescribing	I-C	O	O	
regulations	I-C	O	O	
to	I-C	O	O	
carry	I-C	O	O	
out	I-C	O	O	
the	I-C	B-T1	O	
requirements	I-C	I-T1	O	
of	I-C	B-A1	O	
this	I-C	I-A1	O	
section	I-C	I-A1	O	
with	B-A1	O	O	
respect	I-A1	O	O	
to	I-A1	O	O	
investment	I-A1	B-T1	O	
advisers	I-A1	I-T1	O	
acting	I-A1	B-A2	O	
as	I-A1	I-A2	O	
investment	I-A1	I-A2	O	
advisers	I-A1	I-A2	O	
to	I-A1	I-A2	O	
mid-sized	I-A1	I-A2	O	
private	I-A1	I-A2	O	
funds	I-A1	I-A2	O	
,	I-A1	I-A2	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
take	I-C	O	O	
into	I-C	O	O	
account	I-C	O	O	
the	I-C	B-T1	O	
size	I-C	I-T1	O	
,	I-C	I-T1	O	
governance	I-C	I-T1	O	
,	I-C	I-T1	O	
and	I-C	I-T1	O	
investment	I-C	I-T1	O	
strategy	I-C	I-T1	O	
of	I-C	B-A1	O	
such	I-C	I-A1	O	
funds	I-C	I-A1	O	
to	I-C	O	O	
determine	I-C	O	O	
whether	I-C	O	O	
they	I-C	O	O	
pose	I-C	O	O	
systemic	I-C	O	O	
risk	I-C	O	O	
,	I-C	O	O	
and	I-C	O	O	
shall	I-C	O	O	
provide	I-C	O	O	
for	I-C	O	O	
registration	I-C	O	O	
and	I-C	O	O	
examination	I-C	O	O	
procedures	I-C	O	O	
with	I-C	O	O	
respect	I-C	O	O	
to	I-C	O	O	
the	I-C	B-T1	O	
investment	I-C	I-T1	O	
advisers	I-C	I-T1	O	
of	I-C	B-A1	O	
such	I-C	I-A1	B-T1	
funds	I-C	I-A1	I-T1	
which	I-C	I-A1	B-A2	
reflect	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
level	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
systemic	I-C	I-A1	I-A2	
risk	I-C	I-A1	I-A2	
posed	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
such	I-C	I-A1	I-A2	
funds	I-C	I-A1	I-A2	
.	O	O	O	
Section	B-T3	O	O	
202	I-T3	O	O	
-LRB-	I-T3	O	O	
a	I-T3	O	O	
-RRB-	I-T3	O	O	
-LRB-	I-T3	O	O	
11	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-2	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
-LRB-	I-A1	O	O	
11	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
striking	I-A1	O	O	
or	I-A1	O	O	
-LRB-	I-A1	O	O	
G	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
inserting	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
;	I-A1	O	O	
-LRB-	I-A1	O	O	
G	I-A1	O	O	
-RRB-	I-A1	O	O	
any	I-A1	O	O	
family	I-A1	O	O	
office	I-A1	O	O	
,	I-A1	O	O	
as	I-A1	O	O	
defined	I-A1	O	O	
by	I-A1	O	O	
rule	I-A1	O	O	
,	I-A1	O	O	
regulation	I-A1	O	O	
,	I-A1	O	O	
or	I-A1	O	O	
order	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
,	I-A1	O	O	
in	I-A1	O	O	
accordance	I-A1	O	O	
with	I-A1	O	O	
the	I-A1	O	O	
purposes	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
;	I-A1	O	O	
or	I-A1	O	O	
-LRB-	I-A1	O	O	
H	I-A1	O	O	
-RRB-	I-A1	O	O	
.	O	O	O	
The	B-T3	O	O	
rules	I-T3	O	O	
,	I-T3	O	O	
regulations	I-T3	O	O	
,	I-T3	O	O	
or	I-T3	O	O	
orders	I-T3	O	O	
issued	B-A1	O	O	
by	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
pursuant	I-A1	O	O	
to	I-A1	O	O	
section	I-A1	O	O	
202	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
-LRB-	I-A1	O	O	
11	I-A1	O	O	
-RRB-	I-A1	O	O	
-LRB-	I-A1	O	O	
G	I-A1	O	O	
-RRB-	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
,	I-A1	O	O	
as	I-A1	O	O	
added	I-A1	O	O	
by	I-A1	O	O	
this	I-A1	O	O	
section	I-A1	O	O	
,	I-A1	O	O	
regarding	I-A1	O	O	
the	I-A1	O	O	
definition	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
term	I-A1	O	O	
family	I-A1	O	O	
office	I-A1	O	O	
shall	B-C	O	O	
provide	I-C	O	O	
for	I-C	O	O	
an	I-C	B-T1	O	
exemption	I-C	I-T1	O	
that	I-C	B-A1	O	
-LRB-	I-C	I-A1	O	
1	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
is	I-C	I-A1	O	
consistent	I-C	I-A1	O	
with	I-C	I-A1	O	
the	I-C	I-A1	O	
previous	I-C	I-A1	O	
exemptive	I-C	I-A1	O	
policy	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
,	I-C	I-A1	O	
as	I-C	I-A1	O	
reflected	I-C	I-A1	O	
in	I-C	I-A1	O	
exemptive	I-C	I-A1	O	
orders	I-C	I-A1	O	
for	I-C	I-A1	O	
family	I-C	I-A1	O	
offices	I-C	I-A1	O	
in	I-C	I-A1	O	
effect	I-C	I-A1	O	
on	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
this	I-C	I-A1	O	
Act	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
the	I-C	I-A1	O	
grandfathering	I-C	I-A1	O	
provisions	I-C	I-A1	O	
in	I-C	I-A1	O	
paragraph	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
3	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
;	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
2	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
recognizes	I-C	I-A1	O	
the	I-C	I-A1	O	
range	I-C	I-A1	O	
of	I-C	I-A1	O	
organizational	I-C	I-A1	O	
,	I-C	I-A1	O	
management	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
employment	I-C	I-A1	O	
structures	I-C	I-A1	O	
and	I-C	I-A1	O	
arrangements	I-C	I-A1	B-T1	
employed	I-C	I-A1	B-A2	
by	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
offices	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
and	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
3	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
does	I-C	I-A1	O	
not	I-C	I-A1	O	
exclude	I-C	I-A1	O	
any	I-C	I-A1	B-T1	
person	I-C	I-A1	I-T1	
who	I-C	I-A1	B-A2	
was	I-C	I-A1	I-A2	
not	I-C	I-A1	I-A2	
registered	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
required	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
be	I-C	I-A1	I-A2	
registered	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Investment	I-C	I-A1	I-A2	
Advisers	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
1940	I-C	I-A1	I-A2	
on	I-C	I-A1	I-A2	
January	I-C	I-A1	I-A2	
1	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
2010	I-C	I-A1	I-A2	
from	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
definition	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
term	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
solely	I-C	I-A1	O	
because	I-C	I-A1	O	
such	I-C	I-A1	O	
person	I-C	I-A1	O	
provides	I-C	I-A1	O	
investment	I-C	I-A1	O	
advice	I-C	I-A1	O	
to	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
was	I-C	I-A1	O	
engaged	I-C	I-A1	O	
before	I-C	I-A1	O	
January	I-C	I-A1	O	
1	I-C	I-A1	O	
,	I-C	I-A1	O	
2010	I-C	I-A1	O	
in	I-C	I-A1	O	
providing	I-C	I-A1	O	
investment	I-C	I-A1	O	
advice	I-C	I-A1	O	
to	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
A	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
natural	I-C	I-A1	B-T1	
persons	I-C	I-A1	I-T1	
who	I-C	I-A1	B-A2	
,	I-C	I-A1	I-A2	
at	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
time	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
their	I-C	I-A1	I-A2	
applicable	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
are	I-C	I-A1	I-A2	
officers	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
directors	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
employees	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
who	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
i	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
have	I-C	I-A1	I-A2	
invested	I-C	I-A1	I-A2	
with	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
before	I-C	I-A1	I-A2	
January	I-C	I-A1	I-A2	
1	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
2010	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
ii	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
are	I-C	I-A1	I-A2	
accredited	I-C	I-A1	I-A2	
investors	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
defined	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
Regulation	I-C	I-A1	I-A2	
D	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
any	I-C	I-A1	I-A2	
successor	I-C	I-A1	I-A2	
thereto	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Securities	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
1933	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
may	I-C	I-A1	I-A2	
prescribe	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
rule	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
successors-in-interest	I-C	I-A1	I-A2	
thereto	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	O	
B	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
any	I-C	I-A1	B-T1	
company	I-C	I-A1	I-T1	
owned	I-C	I-A1	B-A2	
exclusively	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
controlled	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
members	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
may	I-C	I-A1	I-A2	
prescribe	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
rule	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	O	
C	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
any	I-C	I-A1	B-T1	
investment	I-C	I-A1	I-T1	
adviser	I-C	I-A1	I-T1	
registered	I-C	I-A1	B-A2	
under	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Investment	I-C	I-A1	I-A2	
Adviser	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
1940	I-C	I-A1	I-A2	
that	I-C	I-A1	I-A2	
provides	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
advice	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
who	I-C	I-A1	I-A2	
identifies	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
opportunities	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
invests	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
such	I-C	I-A1	I-A2	
transactions	I-C	I-A1	I-A2	
on	I-C	I-A1	I-A2	
substantially	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
same	I-C	I-A1	I-A2	
terms	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
invests	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
but	I-C	I-A1	I-A2	
does	I-C	I-A1	I-A2	
not	I-C	I-A1	I-A2	
invest	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
other	I-C	I-A1	I-A2	
funds	I-C	I-A1	I-A2	
advised	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
